Tekken 3.jpeg , tekkeng.gif, games/pa.7z
Crash Team Racing.png , crash-bandicoot-crash-team-racing-nitro-fueled.gif, games/pb.7z
Crash Bandicoot.png , crash-bandicoot-psx.gif, games/pn.7z
Metal Slug X.jpeg , metalslugx.gif, games/pc.7z
Tomb Raider.png , tmr1.gif, games/pd.7z
Tomb Raider II.png , collection-ag-tr2-tomb-raider.gif, games/pe.7z
Tomb Raider III.png , collection-ag-tr3-tomb-raider.gif, games/pf.7z
WWF SmackDown!.jpeg , wsunderrock.webp, games/ph.7z
ISS Pro Evolution 2.jpeg , isspe2scholes.webp, games/pi.7z
Gran Turismo 2.jpeg , gt2city.webp, https://archive.org/download/ps1games/games.zip/gran-turismo-2-arcade.7z
Jackie Chan.jpeg , jackie.gif, games/pj.7z
Syphon Filter.jpeg , syphon-filter-fire.gif, games/pk.7z
Syphon Filter 2.jpeg , ps1-syphon-filter2.gif, games/pl.7z
Syphon Filter 3.jpeg , sf3.gif, games/pm.7z
Road Rash.jpg , roadrash.gif, https://archive.org/download/ps1games/games.zip/roadrash.7z
